Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #,Memo
DEBIT,03/17/2021,ALLSTATE INS CO  INS PREM                   PPD ID: 123456789 ,-23.76,ACH_DEBIT,,,
DEBIT,03/15/2021,CONCORD PET FOODS & SU BUTTZVILLE NJ         03/14,-71.47,DEBIT_CARD,,,
DEBIT,03/08/2021,CONCORD PET FOODS & SU BUTTZVILLE NJ         03/08,-48.97,DEBIT_CARD,,,
DEBIT,03/04/2021,ATT              Payment                    PPD ID: 123456789,-7.20,ACH_DEBIT,,,
DEBIT,03/01/2021,NETFLIX.COM NETFLIX.COM CA                   03/01,-12.99,DEBIT_CARD,,,
DEBIT,02/25/2021,APPLE.COM/BILL 888-123-4567 CA               02/24,-34.99,DEBIT_CARD,,,
DEBIT,02/23/2021,APPLE.COM/BILL 888-123-4567 CA               02/22,-14.99,DEBIT_CARD,,,
DEBIT,02/22/2021,ALLSTATE INS CO  INS PREM    WEB ID: 123456789,-17.66,ACH_DEBIT,,,
DEBIT,02/18/2021,APPLE.COM/BILL 888-123-4567 CA               02/18,-2.99,DEBIT_CARD,,,
DEBIT,02/17/2021,ALLSTATE INS CO  INS PREM                   PPD ID: 123456789,-203.78,ACH_DEBIT,,,
DEBIT,02/16/2021,APPLE.COM/BILL 888-123-4567 CA               02/14,-1.99,DEBIT_CARD,,,
DEBIT,02/12/2021,APPLE.COM/BILL 888-123-4567 CA               02/11,-29.99,DEBIT_CARD,,,
DEBIT,02/05/2021,ACME 1234 BUTTZVILLE NJ                      02/04,-65.41,DEBIT_CARD,,,
DEBIT,02/04/2021,ATT              Payment                    PPD ID: 123456789,-7.20,ACH_DEBIT,,,
DEBIT,02/01/2021,NETFLIX.COM NETFLIX.COM CA                   02/01,-12.99,DEBIT_CARD,,,
DEBIT,01/29/2021,CONCORD PET FOODS & SU BUTTZVILLE NJ         01/29,-77.96,DEBIT_CARD,,,
DEBIT,01/25/2021,APPLE.COM/BILL 888-123-4567 CA               01/22,-14.99,DEBIT_CARD,,,
DEBIT,01/20/2021,ALLSTATE INS CO  INS PREM    WEB ID: 123456789,-17.66,ACH_DEBIT,,,
DEBIT,01/19/2021,APPLE.COM/BILL 888-123-4567 CA               01/18,-2.99,DEBIT_CARD,,,
DEBIT,01/19/2021,ALLSTATE INS CO  INS PREM                   PPD ID: 123456789,-202.88,ACH_DEBIT,,,
DEBIT,01/19/2021,CONCORD PET FOODS & SU BUTTZVILLE NJ         01/18,-84.46,DEBIT_CARD,,,
DEBIT,01/11/2021,CONCORD PET FOODS & SU BUTTZVILLE NJ         01/10,-91.97,DEBIT_CARD,,,
DEBIT,01/05/2021,ATT              Payment                    PPD ID: 123456789,-79.12,ACH_DEBIT,,,
DEBIT,01/04/2021,NETFLIX.COM NETFLIX.COM CA                   01/01,-12.99,DEBIT_CARD,,,
DEBIT,12/29/2020,ACME 1234 BUTTZVILLE NJ              963763  12/29,-167.26,DEBIT_CARD,,,
DEBIT,12/29/2020,CONCORD PET FOODS & SU BUTTZVILLE NJ         12/29,-64.95,DEBIT_CARD,,,
DEBIT,12/23/2020,APPLE.COM/BILL 408-974-1010 CA               12/22,-14.99,DEBIT_CARD,,,
DEBIT,12/22/2020,ALLSTATE INS CO  INS PREM    WEB ID: 123456789,-17.63,ACH_DEBIT,,,
DEBIT,12/21/2020,APPLE.COM/BILL 888-123-4567 CA               12/18,-2.99,DEBIT_CARD,,,
DEBIT,12/17/2020,ALLSTATE INS CO  INS PREM                   PPD ID: 123456789,-202.88,ACH_DEBIT,,,
DEBIT,12/15/2020,CONCORD PET FOODS & SU BUTTZVILLE NJ         12/15,-42.46,DEBIT_CARD,,,
DEBIT,12/09/2020,CONCORD PET FOODS & SU BUTTZVILLE NJ         12/09,-23.46,DEBIT_CARD,,,
DEBIT,12/07/2020,CONCORD PET FOODS & SU BUTTZVILLE NJ         12/06,-62.3,DEBIT_CARD,,,
DEBIT,12/04/2020,ATT              Payment                    PPD ID: 123456789 ,-79.12,ACH_DEBIT,,,
DEBIT,12/02/2020,AUTOZONE  1234 3600 N BUTTZVILLE NJ  534514  12/02,-22.98,DEBIT_CARD,,,
DEBIT,12/01/2020,NETFLIX.COM NETFLIX.COM CA                   12/01,-12.99,DEBIT_CARD,,,
DEBIT,11/30/2020,ACME 1234 BUTTZVILLE NJ              616471  11/30,-103.26,DEBIT_CARD,,,
DEBIT,11/25/2020,CONCORD PET FOODS & SU BUTTZVILLE NJ         11/25,-92.94,DEBIT_CARD,,,
DEBIT,11/24/2020,APPLE.COM/BILL 888-123-4567 CA               11/24,-64.98,DEBIT_CARD,,,
DEBIT,11/20/2020,APPLE.COM/BILL 888-123-4567 CA               11/20,-2.99,DEBIT_CARD,,,
DEBIT,11/20/2020,ALLSTATE INS CO  INS PREM    WEB ID: 123456789,-23.08,ACH_DEBIT,,,
DEBIT,11/20/2020,ACME 1234 BUTTZVILLE NJ              123456789 11/20,-173.75,DEBIT_CARD,,,
DEBIT,11/19/2020,APPLE.COM/BILL 888-123-4567 CA               11/19,-49.99,DEBIT_CARD,,,
DEBIT,11/18/2020,ALLSTATE INS CO  INS PREM                   PPD ID: 123456789,-202.88,ACH_DEBIT,,,
DEBIT,11/16/2020,GULF 1234 BUTTZVILLE NJ                      11/15,-34.53,DEBIT_CARD,,,
DEBIT,11/09/2020,ROYAL FARMS #197 BUTTZVILLE NJ                   11/08,-8.36,DEBIT_CARD,,,
DEBIT,11/09/2020,APPLE.COM/BILL 888-123-4567 CA               11/07,-2.99,DEBIT_CARD,,,
DEBIT,11/04/2020,ATT              Payment                    PPD ID: 123456789,-79.12,ACH_DEBIT,,,
DEBIT,11/02/2020,NETFLIX.COM NETFLIX.COM CA                   11/01,-12.99,DEBIT_CARD,,,
DEBIT,10/26/2020,ACME 1234 BUTTZVILLE NJ              123456  10/24,-12.99,DEBIT_CARD,,,
DEBIT,10/23/2020,APPLE.COM/BILL 888-123-4567 CA               10/22,-16.98,DEBIT_CARD,,,
DEBIT,10/21/2020,ALLSTATE INS CO  INS PREM    WEB ID: 123456789,-23.08,ACH_DEBIT,,,
DEBIT,10/19/2020,APPLE.COM/BILL 888-123-4567 CA               10/18,-2.99,DEBIT_CARD,,,
DEBIT,10/19/2020,ALLSTATE INS CO  INS PREM                   PPD ID: 123456789,-202.88,ACH_DEBIT,,,
DEBIT,10/05/2020,ATT              Payment                    PPD ID: 123456789,-79.08,ACH_DEBIT,,,
DEBIT,10/05/2020,GROTTOPENNSYLVANIA AVE BUTTZVILLE NJ         10/03,-25.79,DEBIT_CARD,,,
DEBIT,10/01/2020,NETFLIX.COM NETFLIX.COM CA                   10/01,-12.99,DEBIT_CARD,,,
DEBIT,09/29/2020,SEAMLSSTACOBELL SEAMLESS.COM NJ              09/28,-25,DEBIT_CARD,,,
DEBIT,09/28/2020,GROTTOPENNSYLVANIA AVE BUTTZVILLE NJ         09/27,-31.29,DEBIT_CARD,,,
DEBIT,09/25/2020,APPLE.COM/BILL 888-123-4567 CA               09/24,-14.99,DEBIT_CARD,,,
DEBIT,09/22/2020,ALLSTATE INS CO  INS PREM    WEB ID: 123456789,-23.08,ACH_DEBIT,,,
DEBIT,09/21/2020,APPLE.COM/BILL 888-123-4567 CA               09/18,-2.99,DEBIT_CARD,,,
DEBIT,09/21/2020,GROTTOPENNSYLVANIA AVE BUTTZVILLE NJ         09/18,-22.79,DEBIT_CARD,,,
DEBIT,09/18/2020,GULF 1234 BUTTZVILLE NJ                      09/18,-34.64,DEBIT_CARD,,,
DEBIT,09/17/2020,ALLSTATE INS CO  INS PREM                   PPD ID: 123456789,-202.88,ACH_DEBIT,,,
DEBIT,09/04/2020,ATT              Payment                    PPD ID: 123456789,-79.08,ACH_DEBIT,,,
DEBIT,09/01/2020,NETFLIX.COM NETFLIX.COM CA                   09/01,-12.99,DEBIT_CARD,,,
DEBIT,08/24/2020,APPLE.COM/BILL 888-123-4567 CA               08/22,-14.99,DEBIT_CARD,,,
DEBIT,08/20/2020,ALLSTATE INS CO  INS PREM    WEB ID: 123456789,-23.08,ACH_DEBIT,,,
DEBIT,08/19/2020,APPLE.COM/BILL 888-123-4567 CA               08/18,-2.99,DEBIT_CARD,,,
DEBIT,08/18/2020,ALLSTATE INS CO  INS PREM                   PPD ID: 123456789,-202.87,ACH_DEBIT,,,
DEBIT,08/17/2020,SEAMLSSTACOBELL SEAMLESS.COM NJ              08/15,-24,DEBIT_CARD,,,
DEBIT,08/04/2020,ATT              Payment                    PPD ID: 123456789,-79.08,ACH_DEBIT,,,
DEBIT,08/03/2020,NETFLIX.COM NETFLIX.COM CA                   08/01,-12.99,DEBIT_CARD,,,
DEBIT,08/03/2020,APPLE.COM/BILL 800-275-2273 CA               08/02,-79.99,DEBIT_CARD,,,
DEBIT,07/24/2020,GROTTOPENNSYLVANIA AVE BUTTZVILLE NJ         07/24,-31.75,DEBIT_CARD,,,
DEBIT,07/21/2020,ALLSTATE INS CO  INS PREM    WEB ID: 123456789,-13.08,ACH_DEBIT,,,
DEBIT,07/20/2020,APPLE.COM/BILL 888-123-4567 CA               07/18,-2.99,DEBIT_CARD,,,
DEBIT,07/20/2020,AUTOZONE  1234 3600 N BUTTZVILLE NJ  123456  07/19,-29.94,DEBIT_CARD,,,
DEBIT,07/17/2020,ALLSTATE INS CO  INS PREM                   PPD ID: 123456789,-202.38,ACH_DEBIT,,,
DEBIT,07/13/2020,ROYAL FARMS #99 BUTTZVILLE NJ                    07/11,-9.45,DEBIT_CARD,,,
DEBIT,07/13/2020,SEAMLSSTACOBELL SEAMLESS.COM NJ              07/11,-28,DEBIT_CARD,,,
DEBIT,07/09/2020,APPLE.COM/BILL 408-974-1010 CA               07/09,-10.88,DEBIT_CARD,,,
DEBIT,07/07/2020,GROTTOPENNSYLVANIA AVE BUTTZVILLE NJ         07/06,-23.79,DEBIT_CARD,,,
DEBIT,07/06/2020,ATT              Payment                    PPD ID: 123456789,-78.9,ACH_DEBIT,,,
DEBIT,07/06/2020,GROTTOPENNSYLVANIA AVE BUTTZVILLE NJ         07/05,-29.78,DEBIT_CARD,,,
DEBIT,07/06/2020,APPLE.COM/BILL 888-123-4567 CA               07/05,-16.32,DEBIT_CARD,,,
DEBIT,07/01/2020,NETFLIX.COM NETFLIX.COM CA                   07/01,-12.99,DEBIT_CARD,,,
DEBIT,06/26/2020,FRANKS WINE 1206 NORTH BUTTZVILLE NJ 456789  06/26,-59.8,DEBIT_CARD,,,
DEBIT,06/22/2020,ALLSTATE INS CO  INS PREM    WEB ID: 123456789,-23.08,ACH_DEBIT,,,
DEBIT,06/19/2020,APPLE.COM/BILL 888-123-4567 CA               06/18,-2.99,DEBIT_CARD,,,
DEBIT,06/17/2020,ALLSTATE INS CO  INS PREM                   PPD ID: 123456789,-171.58,ACH_DEBIT,,,
DEBIT,06/08/2020,GROTTOPENNSYLVANIA AVE BUTTZVILLE NJ         06/06,-30.79,DEBIT_CARD,,,
DEBIT,06/04/2020,ATT              Payment                    PPD ID: 123456789,-78.9,ACH_DEBIT,,,
DEBIT,06/01/2020,NETFLIX.COM NETFLIX.COM CA                   06/01,-12.99,DEBIT_CARD,,,
DEBIT,06/01/2020,GROTTO5TH AVE BUTTZVILLE NJ         05/31,-19.79,DEBIT_CARD,,,
DEBIT,05/22/2020,FRANKS WINE 1206 NORTH BUTTZVILLE NJ 456789  05/22,-100,DEBIT_CARD,,,
DEBIT,05/20/2020,ALLSTATE INS CO  INS PREM    WEB ID: 123456789,-23.08,ACH_DEBIT,,,
DEBIT,05/19/2020,APPLE.COM/BILL 888-123-4567 CA               05/19,-2.99,DEBIT_CARD,,,
DEBIT,05/19/2020,ALLSTATE INS CO  INS PREM                   PPD ID: 123456789,-202.38,ACH_DEBIT,,,
DEBIT,05/15/2020,FRANKS WINE 1206 NORTH BUTTZVILLE NJ 123456  05/15,-105.96,DEBIT_CARD,,,
DEBIT,05/14/2020,ALLSTATE    *PAYMNT 800-255-7828 IL          05/13,12.98,DEBIT_CARD,,,
DEBIT,05/05/2020,ATT              Payment                    PPD ID: 123456789,-78.9,ACH_DEBIT,,,
DEBIT,05/04/2020,ALLSTATE    *PAYMNT 800-255-7828 IL          05/01,-24.17,DEBIT_CARD,,,
DEBIT,05/01/2020,Netflix.com 866-5797172 CA                   05/01,-12.99,DEBIT_CARD,,,
DEBIT,04/22/2020,FRANKS WINE 1206 NORTH BUTTZVILLE NJ 123456  04/22,-147.63,DEBIT_CARD,,,
DEBIT,04/21/2020,ALLSTATE INS CO  INS PREM    WEB ID: 123456789,-23.08,ACH_DEBIT,,,
DEBIT,04/20/2020,APPLE.COM/BILL 888-123-4567 CA               04/18,-2.99,DEBIT_CARD,,,
DEBIT,04/20/2020,GROTTO5TH AVE BUTTZVILLE NJ         04/17,-33.29,DEBIT_CARD,,,
DEBIT,04/17/2020,ALLSTATE INS CO  INS PREM                   PPD ID: 123456789,-202.38,ACH_DEBIT,,,
DEBIT,04/06/2020,ATT              Payment                    PPD ID: 123456789,-78.95,ACH_DEBIT,,,
DEBIT,04/02/2020,ALLSTATE    *PAYMNT 800-255-7828 IL          04/01,-24.17,DEBIT_CARD,,,
DEBIT,03/20/2020,ALLSTATE INS CO  INS PREM    WEB ID: 123456789,-23.08,ACH_DEBIT,,,
DEBIT,03/18/2020,APPLE.COM/BILL 888-123-4567 CA               03/18,-2.99,DEBIT_CARD,,,
DEBIT,03/18/2020,ALLSTATE INS CO  INS PREM                   PPD ID: 123456789,-202.44,ACH_DEBIT,,,
DEBIT,03/09/2020,AUTOZONE  1234 3600 N BUTTZVILLE NJ  123456  03/07,-13.28,DEBIT_CARD,,,
DEBIT,03/04/2020,ATT              Payment                    PPD ID: 123456789,-81.96,ACH_DEBIT,,,
DEBIT,03/03/2020,ALLSTATE    *PAYMNT 800-255-7828 IL          03/02,-24.17,DEBIT_CARD,,,
DEBIT,03/02/2020,Netflix.com netflix.com CA                   03/01,-12.99,DEBIT_CARD,,,
DEBIT,03/02/2020,GROTTO5TH AVE BUTTZVILLE NJ         02/29,-27.79,DEBIT_CARD,,,
DEBIT,02/25/2020,APPLE.COM/BILL 888-123-4567 CA               02/25,-12.99,DEBIT_CARD,,,
DEBIT,02/20/2020,ALLSTATE INS CO  INS PREM    WEB ID: 123456789,-23.08,ACH_DEBIT,,,
DEBIT,02/19/2020,GULF 1234 BUTTZVILLE NJ                      02/19,-32.65,DEBIT_CARD,,,
DEBIT,02/18/2020,APPLE.COM/BILL 888-123-4567 CA               02/18,-2.99,DEBIT_CARD,,,
DEBIT,02/18/2020,ALLSTATE P&C INS INS PYMT    TEL ID: 123456789,-200.88,ACH_DEBIT,,,
DEBIT,02/18/2020,BARCADE NEW YORK LLC NEW YORK NJ             02/13,-41.84,DEBIT_CARD,,,
DEBIT,02/04/2020,ATT              Payment                    PPD ID: 123456789,-81.96,ACH_DEBIT,,,
DEBIT,02/04/2020,STARBUCKS 800-654-9876 WA                    02/04,-25,DEBIT_CARD,,,
DEBIT,02/03/2020,Netflix.com netflix.com CA                   02/01,-12.99,DEBIT_CARD,,,
DEBIT,02/03/2020,ALLSTATE    *PAYMNT 800-255-7828 IL          02/01,-24.17,DEBIT_CARD,,,
DEBIT,01/29/2020,STARBUCKS 800-654-9876 WA                    01/29,-25,DEBIT_CARD,,,
DEBIT,05/17/2021,SEAMLSSTACOBELL SEAMLESS.COM NJ           05/17,-45,DEBIT_CARD,,,
DEBIT,04/26/2021,SEAMLSSTACOBELL SEAMLESS.COM NJ           04/24,-39,DEBIT_CARD,,,
DEBIT,04/23/2021,SEAMLSSTACOBELL SEAMLESS.COM NJ              04/22,-27,DEBIT_CARD,,,
DEBIT,04/12/2021,SEAMLSSTACOBELL SEAMLESS.COM NJ           04/11,-41,DEBIT_CARD,,,
